Cable type,Number of cores,Core in mm2,Cost per m
High Voltage cable,3,25,28.60
High Voltage cable,3,35,35.20
High Voltage cable,3,50,44.20
High Voltage cable,3,70,51.20
High Voltage cable,3,95,56.20
High Voltage cable,3,120,71
High Voltage cable,3,150,80
High Voltage cable,3,185,89
Low Voltage cable,3,2.5,4.95
Low Voltage cable,3,4.0,6.15
Low Voltage cable,3,6.0,7.75
Low Voltage cable,3,10.0,11.35
Low Voltage cable,3,16.0,15.50
Low Voltage cable,3,25.0,21.80
Low Voltage cable,3,35.0,27.40
Low Voltage cable,3,50.0,36.20
Low Voltage cable,3,70.0,49.10
Low Voltage cable,3,95.0,63.10
Low Voltage cable,3,120.0,84.30
Low Voltage cable,3,150.0,98.80
Low Voltage cable,3,185.0,127
Low Voltage cable,3,240.0,167
Low Voltage cable,4,2.5,4.90
Low Voltage cable,4,4.0,6.40
Low Voltage cable,4,6.0,9
Low Voltage cable,4,10.0,13.40
Low Voltage cable,4,16.0,18.60
Low Voltage cable,4,25.0,26.45
Low Voltage cable,4,35.0,33.70
Low Voltage cable,4,50.0,42.70
Low Voltage cable,4,70.0,30.50
Low Voltage cable,4,95.0,87.10
Low Voltage cable,4,120.0,107
Low Voltage cable,4,150.0,137
Low Voltage cable,4,185.0,164
Low Voltage cable,4,240.0,207
