Type,Capacity in kVA,Price from,Price till
Oil cooled,100,5000,6000
Oil cooled,250,6000,7000
Oil cooled,400,7000,8000
Oil cooled,630,9000,10000
Oil cooled,1000,11000,12000
Oil cooled,1250,13000,14000
Oil cooled,1600,15000,16000
Oil cooled,2000,17000,18000
Oil cooled,2500,19000,20000
Oil cooled,3150,25000,30000
Cast resin dry,100,5000,6000
Cast resin dry,250,7000,8000
Cast resin dry,400,9000,10000
Cast resin dry,630,11000,12000
Cast resin dry,1000,13000,14000
Cast resin dry,1250,15000,16000
Cast resin dry,1600,17000,18000
