Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Solar Zenith Angle
2016,1,1,0,0,0,0,0,3,165.51
2016,1,1,0,30,0,0,0,2,165.12
2016,1,1,1,0,0,0,0,2,162.22
2016,1,1,1,30,0,0,0,2,157.79
2016,1,1,2,0,0,0,0,2,152.57
2016,1,1,2,30,0,0,0,1,146.96
2016,1,1,3,0,0,0,0,1,141.14
2016,1,1,3,30,0,0,0,1,135.21
2016,1,1,4,0,0,0,0,1,129.26
2016,1,1,4,30,0,0,0,0,123.3
2016,1,1,5,0,0,0,0,0,117.39
2016,1,1,5,30,0,0,0,0,111.54
2016,1,1,6,0,0,0,0,0,105.78
2016,1,1,6,30,0,0,0,0,100.15
2016,1,1,7,0,0,0,0,0,94.68
2016,1,1,7,30,0,0,0,1,89.4
2016,1,1,8,0,69,32,375,3,84.36
2016,1,1,8,30,149,49,557,4,79.62
2016,1,1,9,0,231,61,668,5,75.22
2016,1,1,9,30,308,69,742,6,71.24
2016,1,1,10,0,372,80,772,8,67.75
2016,1,1,10,30,428,85,808,8,64.84
2016,1,1,11,0,471,89,830,9,62.6
2016,1,1,11,30,499,91,844,9,61.09
2016,1,1,12,0,513,91,853,10,60.38
2016,1,1,12,30,510,91,851,10,60.48
2016,1,1,13,0,495,86,853,11,61.41
2016,1,1,13,30,462,84,836,11,63.11
2016,1,1,14,0,416,80,812,11,65.53
2016,1,1,14,30,357,75,773,10,68.59
2016,1,1,15,0,287,67,721,10,72.21000000000001
2016,1,1,15,30,209,58,638,9,76.31
2016,1,1,16,0,128,45,514,8,80.81
2016,1,1,16,30,50,27,309,7,85.63
2016,1,1,17,0,0,0,0,7,90.74
2016,1,1,17,30,0,0,0,6,96.07
2016,1,1,18,0,0,0,0,6,101.59
2016,1,1,18,30,0,0,0,6,107.25
2016,1,1,19,0,0,0,0,6,113.03
2016,1,1,19,30,0,0,0,5,118.9
2016,1,1,20,0,0,0,0,5,124.83
2016,1,1,20,30,0,0,0,5,130.78
2016,1,1,21,0,0,0,0,5,136.73
2016,1,1,21,30,0,0,0,4,142.63
2016,1,1,22,0,0,0,0,4,148.41
2016,1,1,22,30,0,0,0,4,153.94
2016,1,1,23,0,0,0,0,4,158.99
2016,1,1,23,30,0,0,0,4,163.1
2016,1,2,0,0,0,0,0,4,165.41
2016,1,2,0,30,0,0,0,4,165.07
2016,1,2,1,0,0,0,0,4,162.21
2016,1,2,1,30,0,0,0,4,157.81
2016,1,2,2,0,0,0,0,4,152.61
2016,1,2,2,30,0,0,0,4,147.0
2016,1,2,3,0,0,0,0,4,141.18
2016,1,2,3,30,0,0,0,4,135.26
2016,1,2,4,0,0,0,0,4,129.31
2016,1,2,4,30,0,0,0,3,123.35
2016,1,2,5,0,0,0,0,3,117.43
2016,1,2,5,30,0,0,0,3,111.58
2016,1,2,6,0,0,0,0,3,105.83
2016,1,2,6,30,0,0,0,3,100.19
2016,1,2,7,0,0,0,0,3,94.71
2016,1,2,7,30,0,0,0,4,89.43
2016,1,2,8,0,28,28,0,5,84.38
2016,1,2,8,30,62,62,0,6,79.62
2016,1,2,9,0,96,93,10,7,75.21000000000001
2016,1,2,9,30,128,122,19,8,71.22
2016,1,2,10,0,157,147,27,10,67.72
2016,1,2,10,30,106,106,0,11,64.81
2016,1,2,11,0,267,204,135,13,62.55
2016,1,2,11,30,369,190,370,13,61.02
2016,1,2,12,0,334,218,234,14,60.29
2016,1,2,12,30,315,221,188,14,60.39
2016,1,2,13,0,303,216,180,15,61.3
2016,1,2,13,30,188,176,25,15,62.99
2016,1,2,14,0,159,153,13,15,65.41
2016,1,2,14,30,137,133,8,14,68.47
2016,1,2,15,0,110,109,2,14,72.08
2016,1,2,15,30,80,80,0,12,76.17
2016,1,2,16,0,49,49,0,11,80.67
2016,1,2,16,30,19,19,0,10,85.49
2016,1,2,17,0,0,0,0,10,90.6
2016,1,2,17,30,0,0,0,9,95.93
2016,1,2,18,0,0,0,0,8,101.45
2016,1,2,18,30,0,0,0,8,107.11
2016,1,2,19,0,0,0,0,8,112.89
2016,1,2,19,30,0,0,0,7,118.76
2016,1,2,20,0,0,0,0,7,124.69
2016,1,2,20,30,0,0,0,6,130.65
2016,1,2,21,0,0,0,0,6,136.6
2016,1,2,21,30,0,0,0,6,142.49
2016,1,2,22,0,0,0,0,6,148.27
2016,1,2,22,30,0,0,0,6,153.8
2016,1,2,23,0,0,0,0,7,158.85
2016,1,2,23,30,0,0,0,6,162.97
2016,1,3,0,0,0,0,0,6,165.31
2016,1,3,0,30,0,0,0,6,165.0
2016,1,3,1,0,0,0,0,6,162.19
2016,1,3,1,30,0,0,0,6,157.82
2016,1,3,2,0,0,0,0,6,152.63
2016,1,3,2,30,0,0,0,6,147.04
2016,1,3,3,0,0,0,0,7,141.23
2016,1,3,3,30,0,0,0,7,135.31
2016,1,3,4,0,0,0,0,7,129.35
2016,1,3,4,30,0,0,0,7,123.4
2016,1,3,5,0,0,0,0,7,117.48
2016,1,3,5,30,0,0,0,7,111.62
2016,1,3,6,0,0,0,0,7,105.86
2016,1,3,6,30,0,0,0,7,100.22
2016,1,3,7,0,0,0,0,7,94.74
2016,1,3,7,30,0,0,0,8,89.44
2016,1,3,8,0,40,34,55,9,84.39
2016,1,3,8,30,87,69,97,10,79.63
2016,1,3,9,0,134,103,120,11,75.21000000000001
2016,1,3,9,30,179,135,134,11,71.2
2016,1,3,10,0,217,161,147,12,67.69
2016,1,3,10,30,334,150,431,12,64.76
2016,1,3,11,0,347,181,360,13,62.49
2016,1,3,11,30,328,212,239,13,60.95
2016,1,3,12,0,382,196,374,14,60.21
2016,1,3,12,30,414,169,494,14,60.29
2016,1,3,13,0,326,210,241,15,61.19
2016,1,3,13,30,338,180,344,15,62.870000000000005
2016,1,3,14,0,277,175,243,15,65.28
2016,1,3,14,30,234,152,222,15,68.33
2016,1,3,15,0,186,128,188,15,71.94
2016,1,3,15,30,135,96,162,14,76.03
2016,1,3,16,0,81,63,111,13,80.53
2016,1,3,16,30,32,29,42,12,85.35000000000001
2016,1,3,17,0,0,0,0,12,90.45
2016,1,3,17,30,0,0,0,11,95.79
2016,1,3,18,0,0,0,0,11,101.31
2016,1,3,18,30,0,0,0,10,106.97
2016,1,3,19,0,0,0,0,9,112.75
2016,1,3,19,30,0,0,0,8,118.62
2016,1,3,20,0,0,0,0,8,124.55
2016,1,3,20,30,0,0,0,8,130.51
2016,1,3,21,0,0,0,0,8,136.46
2016,1,3,21,30,0,0,0,8,142.35
2016,1,3,22,0,0,0,0,8,148.13
2016,1,3,22,30,0,0,0,8,153.65
2016,1,3,23,0,0,0,0,8,158.71
2016,1,3,23,30,0,0,0,8,162.83
2016,1,4,0,0,0,0,0,8,165.19
2016,1,4,0,30,0,0,0,8,164.93
2016,1,4,1,0,0,0,0,8,162.17000000000002
2016,1,4,1,30,0,0,0,8,157.82
2016,1,4,2,0,0,0,0,8,152.66
2016,1,4,2,30,0,0,0,8,147.07
2016,1,4,3,0,0,0,0,9,141.26
2016,1,4,3,30,0,0,0,9,135.35
2016,1,4,4,0,0,0,0,9,129.39
2016,1,4,4,30,0,0,0,9,123.44
2016,1,4,5,0,0,0,0,10,117.52
2016,1,4,5,30,0,0,0,10,111.66
2016,1,4,6,0,0,0,0,10,105.89
2016,1,4,6,30,0,0,0,10,100.25
2016,1,4,7,0,0,0,0,11,94.76
2016,1,4,7,30,0,0,0,11,89.46000000000001
2016,1,4,8,0,15,15,0,12,84.4
2016,1,4,8,30,32,32,0,12,79.62
2016,1,4,9,0,50,50,0,13,75.19
2016,1,4,9,30,67,67,0,13,71.17
2016,1,4,10,0,82,82,0,14,67.65
2016,1,4,10,30,356,131,524,14,64.7
2016,1,4,11,0,366,168,427,15,62.42
2016,1,4,11,30,306,218,179,15,60.870000000000005
2016,1,4,12,0,378,201,355,16,60.11
2016,1,4,12,30,377,204,348,16,60.18
2016,1,4,13,0,19,19,0,16,61.07
2016,1,4,13,30,449,81,802,15,62.74
2016,1,4,14,0,331,145,443,15,65.14
2016,1,4,14,30,251,147,281,14,68.19
2016,1,4,15,0,202,124,247,14,71.8
2016,1,4,15,30,147,95,216,13,75.89
2016,1,4,16,0,90,63,165,13,80.38
2016,1,4,16,30,37,30,80,12,85.21000000000001
2016,1,4,17,0,0,0,0,12,90.31
2016,1,4,17,30,0,0,0,12,95.64
2016,1,4,18,0,0,0,0,12,101.16
2016,1,4,18,30,0,0,0,12,106.83
2016,1,4,19,0,0,0,0,12,112.61
2016,1,4,19,30,0,0,0,12,118.48
