date,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Solar Zenith Angle,Year
2018-01-01 00:00:00,1,1,0,0,0,0,0,10.4,165.47,2018
2018-01-01 00:30:00,1,1,0,30,0,0,0,10.4,165.11,2018
2018-01-01 01:00:00,1,1,1,0,0,0,0,10.3,162.23,2018
2018-01-01 01:30:00,1,1,1,30,0,0,0,10.2,157.82,2018
2018-01-01 02:00:00,1,1,2,0,0,0,0,10.1,152.61,2018
2018-01-01 02:30:00,1,1,2,30,0,0,0,9.9,146.99,2018
2018-01-01 03:00:00,1,1,3,0,0,0,0,9.8,141.18,2018
2018-01-01 03:30:00,1,1,3,30,0,0,0,9.7,135.26,2018
2018-01-01 04:00:00,1,1,4,0,0,0,0,9.5,129.3,2018
2018-01-01 04:30:00,1,1,4,30,0,0,0,9.4,123.34,2018
2018-01-01 05:00:00,1,1,5,0,0,0,0,9.3,117.42,2018
2018-01-01 05:30:00,1,1,5,30,0,0,0,9.3,111.57,2018
2018-01-01 06:00:00,1,1,6,0,0,0,0,9.2,105.82,2018
2018-01-01 06:30:00,1,1,6,30,0,0,0,9.1,100.18,2018
2018-01-01 07:00:00,1,1,7,0,0,0,0,9.0,94.71,2018
2018-01-01 07:30:00,1,1,7,30,9,8,47,9.6,89.01,2018
2018-01-01 08:00:00,1,1,8,0,49,35,137,10.1,84.23,2018
2018-01-01 08:30:00,1,1,8,30,103,65,207,11.0,79.54,2018
2018-01-01 09:00:00,1,1,9,0,150,95,214,11.9,75.16,2018
2018-01-01 09:30:00,1,1,9,30,218,119,308,13.0,71.18,2018
2018-01-01 10:00:00,1,1,10,0,290,126,432,14.2,67.7,2018
2018-01-01 10:30:00,1,1,10,30,334,144,447,15.1,64.79,2018
2018-01-01 11:00:00,1,1,11,0,380,147,505,16.1,62.54,2018
2018-01-01 11:30:00,1,1,11,30,418,139,576,16.8,61.02,2018
2018-01-01 12:00:00,1,1,12,0,424,150,553,17.6,60.3,2018
2018-01-01 12:30:00,1,1,12,30,415,155,526,18.1,60.4,2018
