,Month,Day,Hour,GHI,Temperature
0,1.0,1.0,0.0,0.0,10.4
1,1.0,1.0,0.0,0.0,10.4
2,1.0,1.0,0.0,0.0,10.4
3,1.0,1.0,0.0,0.0,10.4
4,1.0,1.0,1.0,0.0,10.3
5,1.0,1.0,1.0,0.0,10.3
6,1.0,1.0,1.0,0.0,10.2
7,1.0,1.0,1.0,0.0,10.2
8,1.0,1.0,2.0,0.0,10.1
9,1.0,1.0,2.0,0.0,10.1
10,1.0,1.0,2.0,0.0,9.9
11,1.0,1.0,2.0,0.0,9.9
12,1.0,1.0,3.0,0.0,9.8
13,1.0,1.0,3.0,0.0,9.8
14,1.0,1.0,3.0,0.0,9.7
15,1.0,1.0,3.0,0.0,9.7
16,1.0,1.0,4.0,0.0,9.5
17,1.0,1.0,4.0,0.0,9.5
18,1.0,1.0,4.0,0.0,9.4
19,1.0,1.0,4.0,0.0,9.4
20,1.0,1.0,5.0,0.0,9.3
21,1.0,1.0,5.0,0.0,9.3
22,1.0,1.0,5.0,0.0,9.3
23,1.0,1.0,5.0,0.0,9.3
24,1.0,1.0,6.0,0.0,9.2
25,1.0,1.0,6.0,0.0,9.2
26,1.0,1.0,6.0,0.0,9.1
27,1.0,1.0,6.0,0.0,9.1
28,1.0,1.0,7.0,0.0,9.0
29,1.0,1.0,7.0,0.0,9.0
30,1.0,1.0,7.0,9.0,9.6
31,1.0,1.0,7.0,9.0,9.6
32,1.0,1.0,8.0,49.0,10.1
33,1.0,1.0,8.0,49.0,10.1
34,1.0,1.0,8.0,103.0,11.0
35,1.0,1.0,8.0,103.0,11.0
36,1.0,1.0,9.0,150.0,11.9
37,1.0,1.0,9.0,150.0,11.9
38,1.0,1.0,9.0,218.0,13.0
39,1.0,1.0,9.0,218.0,13.0
40,1.0,1.0,10.0,290.0,14.2
41,1.0,1.0,10.0,290.0,14.2
42,1.0,1.0,10.0,334.0,15.1
43,1.0,1.0,10.0,334.0,15.1
44,1.0,1.0,11.0,380.0,16.1
45,1.0,1.0,11.0,380.0,16.1
46,1.0,1.0,11.0,418.0,16.8
47,1.0,1.0,11.0,418.0,16.8
48,1.0,1.0,12.0,424.0,17.6
49,1.0,1.0,12.0,424.0,17.6
50,1.0,1.0,12.0,415.0,18.1
51,1.0,1.0,12.0,415.0,18.1
52,1.0,1.0,13.0,418.0,18.5
53,1.0,1.0,13.0,418.0,18.5
54,1.0,1.0,13.0,374.0,18.6
55,1.0,1.0,13.0,374.0,18.6
56,1.0,1.0,14.0,338.0,18.7
57,1.0,1.0,14.0,338.0,18.7
58,1.0,1.0,14.0,300.0,18.3
59,1.0,1.0,14.0,300.0,18.3
60,1.0,1.0,15.0,246.0,17.900000000000002
61,1.0,1.0,15.0,246.0,17.900000000000002
62,1.0,1.0,15.0,181.0,17.900000000000002
63,1.0,1.0,15.0,181.0,17.900000000000002
64,1.0,1.0,16.0,98.0,15.6
65,1.0,1.0,16.0,98.0,15.6
66,1.0,1.0,16.0,40.0,14.7
67,1.0,1.0,16.0,40.0,14.7
68,1.0,1.0,17.0,5.0,13.8
69,1.0,1.0,17.0,5.0,13.8
70,1.0,1.0,17.0,0.0,13.3
71,1.0,1.0,17.0,0.0,13.3
72,1.0,1.0,18.0,0.0,12.8
73,1.0,1.0,18.0,0.0,12.8
74,1.0,1.0,18.0,0.0,12.6
75,1.0,1.0,18.0,0.0,12.6
76,1.0,1.0,19.0,0.0,12.4
